pi0_droid,paligemma_vq_droid,paligemma_fast_specialist_droid,pi0_fast_droid,paligemma_fast_droid,paligemma_diffusion_droid,paligemma_binning_droid
0.2,0.2,0.25,0.85,0.2,0.8,0.3
0.0,0.0,0.0,0.3,0.0,0.0,0.0
,,,,1.0,,0.0
0.5,0.0,0.0,1.0,1.0,1.0,0.5
0.15,0.1,0.0,0.0,0.75,0.2,0.0
0.5,0.5,0.0,0.5,0.5,0.6,0.0
0.0,0.0,0.5,0.3,0.0,0.6,0.0
,,,,,,0.0
0.9,1.0,0.9,0.6,1.0,1.0,0.0
0.1,0.2,0.1,0.2,0.4,0.2,0.0
0.0,0.0,0.0,0.25,0.0,0.0,0.0
,,,0.75,,,
0.25,0.25,1.0,0.5,0.0,0.25,0.0
0.08,0.3,0.35,0.5,0.3,0.6,0.0
0.7,0.0,1.0,1.0,1.0,1.0,0.0
0.05,0.15,0.0,0.75,0.1,0.07,0.05
0.0,1.0,0.0,0.25,0.0,0.25,0.0
1.0,0.5,1.0,1.0,0.3,0.8,0.4
1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,,,,
0.4,0.7,0.5,0.2,0.3,0.0,0.0
0.15,0.9,0.9,0.65,0.9,0.15,0.8
0.2,0.0,0.7,0.0,1.0,0.05,0.2
0.0,0.0,0.4,0.25,0.4,0.25,0.0
0.15,0.15,0.3,0.1,0.1,0.0,0.0
0.25,0.5,0.5,1.0,0.5,0.75,0.25
0.02,0.2,0.2,0.1,0.5,0.2,0.0
,,1.0,,,,0.0
0.5,0.4,0.5,0.3,0.5,0.5,0.0
1.0,0.5,1.0,1.0,1.0,1.0,0.0
0.25,0.0,0.25,0.25,0.25,0.75,0.25
0.75,0.75,0.75,0.75,0.75,0.75,0.0
0.2,0.9,0.5,0.0,0.0,0.25,0.0
0.0,0.2,0.1,0.3,0.5,0.6,0.0
0.25,0.0,0.1,0.25,0.0,0.2,0.0
0.0,,,,,,
0.25,,,,,1.0,
0.3,0.2,0.3,0.0,0.3,0.3,0.5
0.5,0.5,0.5,0.5,0.5,1.0,0.0
0.04,0.01,0.05,0.03,0.03,0.01,0.0
0.1,0.1,0.3,0.3,0.3,0.3,0.0
1.0,0.25,0.25,0.25,1.0,1.0,0.5
0.5,0.75,1.0,0.5,0.0,0.0,0.0
0.15,0.15,0.15,0.0,0.5,0.15,0.0
0.0,0.1,0.4,1.0,0.9,0.9,0.0
,,0.75,,,,
0.05,0.8,0.6,0.2,1.0,0.1,0.0
0.4,0.4,0.5,0.7,0.6,1.0,0.0
0.1,0.6,0.3,0.0,0.6,0.0,0.6
0.0,1.0,0.5,0.5,1.0,1.0,0.0
,,,,,,0.0
1.0,,0.5,,,,
0.8,0.2,1.0,0.9,0.1,1.0,0.0
,,,0.2,,,
0.5,0.5,0.75,0.1,0.5,0.1,0.0
0.1,0.75,0.2,0.2,0.2,0.75,0.0
0.1,0.6,0.2,0.4,0.55,0.3,0.0
,0.25,,0.0,,,
1.0,,,,,,0.0
,,0.0,0.0,1.0,0.0,
0.5,,,,,0.0,
0.5,0.5,0.3,1.0,0.5,0.5,0.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.0,1.0,0.3,1.0,0.4,0.05
0.5,0.5,0.5,0.5,0.5,0.5,0.5
